married / was married,couple,any relation,respondent gender,couple gender,interracial couple,respondent age,partner age,education gap,couple salary gap,couple political stability,meeting interface,try app service,relation duration [year],relation quality
1.0,1.0,,1,0,,2,2.0,0.0,3,6.0,2.0,,15.42,1
,1.0,,1,0,,5,4.0,1.0,1,3.0,1.0,,20.42,1
,1.0,,1,0,,1,2.0,0.0,1,6.0,0.0,,7.5,2
1.0,1.0,,0,0,,6,5.0,1.0,2,1.0,,,49.75,2
0.0,0.0,1.0,0,0,,4,1.0,2.0,1,1.0,,,2.75,
0.0,0.0,1.0,1,2,,3,4.0,1.0,3,6.0,0.0,,2.92,
1.0,1.0,,1,0,,1,2.0,0.0,3,4.0,0.0,,2.58,1
,1.0,,1,0,,4,5.0,1.0,1,5.0,,,9.33,1
1.0,1.0,,0,0,,2,1.0,2.0,1,4.0,3.0,,7.25,2
1.0,1.0,,1,0,,6,6.0,0.0,3,6.0,1.0,,26.0,1
,1.0,,0,0,,5,5.0,4.0,1,5.0,5.0,,36.42,1
,1.0,,1,0,,4,3.0,1.0,2,4.0,1.0,,15.5,1
,1.0,,0,0,,8,7.0,4.0,1,5.0,3.0,,7.92,2
1.0,1.0,,0,0,,4,4.0,6.0,1,1.0,,,32.83,1
,1.0,,0,1,,5,5.0,0.0,1,6.0,3.0,,27.33,1
0.0,0.0,1.0,1,0,,1,1.0,3.0,1,5.0,1.0,1.0,1.75,
1.0,1.0,,1,0,,3,3.0,3.0,3,6.0,4.0,,27.25,1
1.0,1.0,,0,0,,3,3.0,0.0,1,3.0,,,15.33,2
0.0,0.0,1.0,0,1,,5,5.0,1.0,2,6.0,3.0,,26.83,
,1.0,,1,0,,1,1.0,0.0,2,6.0,0.0,1.0,0.0,1
1.0,1.0,,0,0,,4,4.0,0.0,1,6.0,4.0,,34.25,1
1.0,1.0,,0,0,,6,6.0,0.0,2,6.0,,,51.33,1
1.0,1.0,,1,0,,6,5.0,1.0,1,6.0,1.0,,43.83,2
1.0,1.0,,1,0,,1,1.0,1.0,3,4.0,2.0,,7.75,1
1.0,1.0,,0,0,,4,4.0,1.0,4,6.0,1.0,,15.0,1
1.0,1.0,,0,0,,4,4.0,6.0,3,4.0,3.0,,34.17,1
1.0,1.0,,0,0,,2,2.0,1.0,3,6.0,4.0,,3.0,1
,1.0,,0,1,,3,2.0,3.0,1,6.0,,,16.08,2
1.0,1.0,,0,0,,4,3.0,3.0,1,6.0,1.0,,21.67,1
1.0,1.0,,0,0,,4,5.0,1.0,1,4.0,,,40.42,1
1.0,1.0,,0,0,,3,2.0,3.0,2,6.0,3.0,,6.83,1
1.0,0.0,1.0,1,0,,4,4.0,4.0,3,5.0,4.0,,,
1.0,1.0,,0,0,,7,6.0,4.0,2,5.0,,,29.25,1
0.0,0.0,1.0,0,0,,0,1.0,0.0,3,6.0,4.0,1.0,1.08,
